"tax_id","parent_id","rank","tax_name","root","below_root","below_below_root","below_below_below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","below_below_below_below_superkingdom","below_below_below_below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","below_below_below_class","subclass","order","below_order","below_below_order","suborder","family","below_family","below_below_family","below_below_below_family","tribe","genus","below_genus","subgenus","species_group","species_subgroup","below_species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies","below_below_subspecies"
"1465811","1707","species","Cellulomonas massiliensis","1","131567","","","2","1783272","","","","","201174","","","","1760","","","","","85006","","","","85016","","","","","1707","","","","","","1465811","","","","",""
"1672219","1707","species","Cellulomonas sp. A375-1","1","131567","","","2","1783272","","","","","201174","","","","1760","","","","","85006","","","","85016","","","","","1707","","","","","","1672219","","","","",""
"1346710","1707","species","Cellulomonas sp. FA1","1","131567","","","2","1783272","","","","","201174","","","","1760","","","","","85006","","","","85016","","","","","1707","","","","","","1346710","","","","",""
"1454010","1707","species","Cellulomonas sp. HZM","1","131567","","","2","1783272","","","","","201174","","","","1760","","","","","85006","","","","85016","","","","","1707","","","","","","1454010","","","","",""
"1736339","1707","species","Cellulomonas sp. Leaf334","1","131567","","","2","1783272","","","","","201174","","","","1760","","","","","85006","","","","85016","","","","","1707","","","","","","1736339","","","","",""
"1736609","1707","species","Cellulomonas sp. Root930","1","131567","","","2","1783272","","","","","201174","","","","1760","","","","","85006","","","","85016","","","","","1707","","","","","","1736609","","","","",""
"1380354","1707","species","Cellulomonas sp. URHE0023","1","131567","","","2","1783272","","","","","201174","","","","1760","","","","","85006","","","","85016","","","","","1707","","","","","","1380354","","","","",""
"LR102","1707","species","Cellulomonas_LOMA-175","1","131567","","","2","1783272","","","","","201174","","","","1760","","","","","85006","","","","85016","","","","","1707","","","","","","LR102","","","","",""
"59600","104264","species","Cellulophaga algicola","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","104264","","","","","","59600","","","","",""
"76594","104264","species","Cellulophaga baltica","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","104264","","","","","","76594","","","","",""
